station_id,time,PM25_Concentration,timestamp
1001,2014/5/1 0:00,138,1398873600
1001,2014/5/1 1:00,124,1398877200
1001,2014/5/1 2:00,,1398880800
1001,2014/5/1 3:00,,1398884400
1001,2014/5/1 4:00,119,1398888000
1001,2014/5/1 5:00,127,1398891600
1001,2014/5/1 6:00,124,1398895200
1001,2014/5/1 7:00,120,1398898800
1001,2014/5/1 8:00,123,1398902400
1001,2014/5/1 9:00,147,1398906000
1001,2014/5/1 10:00,188,1398909600
1001,2014/5/1 11:00,212,1398913200
1001,2014/5/1 12:00,229,1398916800
1001,2014/5/1 13:00,240,1398920400
1001,2014/5/1 14:00,240,1398924000
1001,2014/5/1 15:00,241,1398927600
1001,2014/5/1 16:00,240,1398931200
1001,2014/5/1 17:00,242,1398934800
1001,2014/5/1 18:00,174,1398938400
1001,2014/5/1 19:00,130,1398942000
1001,2014/5/1 20:00,132,1398945600
1002,2014/5/1 0:00,89,1398873600
1002,2014/5/1 1:00,85,1398877200
1002,2014/5/1 2:00,88,1398880800
1002,2014/5/1 3:00,100,1398884400
1002,2014/5/1 4:00,109,1398888000
1002,2014/5/1 5:00,120,1398891600
1002,2014/5/1 6:00,127,1398895200
1002,2014/5/1 7:00,114,1398898800
1002,2014/5/1 8:00,121,1398902400
1002,2014/5/1 9:00,133,1398906000
1002,2014/5/1 10:00,,1398909600
1002,2014/5/1 11:00,,1398913200
1002,2014/5/1 12:00,111,1398916800
1002,2014/5/1 13:00,172,1398920400
1002,2014/5/1 14:00,173,1398924000
1002,2014/5/1 15:00,177,1398927600
1002,2014/5/1 16:00,176,1398931200
1002,2014/5/1 17:00,171,1398934800
1002,2014/5/1 18:00,126,1398938400
1002,2014/5/1 19:00,53,1398942000
1002,2014/5/1 20:00,58,1398945600
1003,2014/5/1 0:00,105,1398873600
1003,2014/5/1 1:00,121,1398877200
1003,2014/5/1 2:00,130,1398880800
1003,2014/5/1 3:00,137,1398884400
1003,2014/5/1 4:00,144,1398888000
1003,2014/5/1 5:00,,1398891600
1003,2014/5/1 6:00,,1398895200
1003,2014/5/1 7:00,108,1398898800
1003,2014/5/1 8:00,141,1398902400
1003,2014/5/1 9:00,148,1398906000
1003,2014/5/1 10:00,167,1398909600
1003,2014/5/1 11:00,178,1398913200
1003,2014/5/1 12:00,179,1398916800
1003,2014/5/1 13:00,184,1398920400
1003,2014/5/1 14:00,188,1398924000
1003,2014/5/1 15:00,188,1398927600
1003,2014/5/1 16:00,185,1398931200
1003,2014/5/1 17:00,,1398934800
1003,2014/5/1 18:00,,1398938400
1003,2014/5/1 19:00,,1398942000
1003,2014/5/1 20:00,68,1398945600
