station_id,name_chinese,name_english,latitude,longitude,district_id
001001,海淀北部新区,HaiDianBeiBuXinQu,40.090679,116.173553,00101
001002,海淀北京植物园,HaiDianBeiJingZhiWuYuan,40.003950,116.205310,00101
001003,石景山古城,ShiJingShanGuCheng,39.914409,116.184239,00102
001004,丰台云岗,FengTaiYunGang,39.815128,116.171150,00103
001005,房山良乡,FangShanLiangXiang,39.742767,116.136045,00104
001006,海淀万柳,HaiDianWanLiu,39.987313,116.287451,00101
001007,朝阳奥体中心,ChaoYangAoTiZhongXin,39.982053,116.397400,00105
001008,西直门北大街,XiZhiMenBeiDaJie,39.954047,116.348991,00101
001009,西城万寿西宫,XiChengWanShouXiGong,39.878193,116.351974,00106
001010,永定门内大街,YongDingMenNeiDaJie,39.876184,116.394009,00103
001011,南三环西路,NanSanHuanXiLu,39.855958,116.367810,00103
001012,朝阳农展馆,ChaoYangNongZhanGuan,39.937119,116.460742,00105
001013,东城东四,DongChengDongSi,39.929287,116.416883,00107
001014,东四环北路,DongSiHuanBeiLu,39.939554,116.483746,00105
001015,西城官园,XiChengGuanYuan,39.929302,116.351029,00106
001016,丰台花园,FengTaiHuaYuan,39.863470,116.279082,00103
001017,大兴黄村镇,DaXingHuangCunZhen,39.718147,116.406155,00108
001018,亦庄开发区,YiZhuangKaiFaQu,39.794491,116.506319,00108
001019,通州新城,TongZhouXinCheng,39.885241,116.664162,00109
001020,东城天坛,DongChengTianTan,39.886491,116.407355,00107
001021,前门东大街,QianMenDongDaJie,39.899135,116.395383,00107
001022,北京美国大使馆,BeiJingMeiGuoDaShiGuan,39.920993,116.443448,00105
001023,顺义新城,ShunYiXinCheng,40.127000,116.655000,00110
001024,昌平镇,ChangPingZhen,40.216999,116.230000,00111
001025,门头沟龙泉镇,MenTouGouLongQuanZhen,39.936999,116.105999,00112
001026,平谷镇,PingGuZhen,40.143000,117.099999,00113
001027,怀柔镇,HuaiRouZhen,40.328000,116.628000,00114
001028,密云镇,MiYunZhen,40.369999,116.831999,00115
001029,延庆镇,YanQingZhen,40.453000,115.971999,00116
001030,昌平定陵,ChangPingDingLing,40.292000,116.220000,00111
001031,京西北八达岭,JingXiBeiBaDaLing,40.365000,115.988000,00116
001032,京东北密云水库,JingDongBeiMiYunShuiKu,40.499000,116.911000,00115
001033,京东东高村,JingDongDongGaoCun,40.100000,117.120000,00113
001034,京东南永乐店,JingDongNanYongLeDian,39.712000,116.783000,00109
001035,京南榆垡,JingNanYu,39.520000,116.300000,00108
001036,京西南琉璃河,JingXiNanLiuLiHe,39.579999,116.000000,00104
